dealer_code,dealer_city,part_code,description,abc_class,supplier,unit_cost_inr,current_stock,unit,eoq,safety_stock,reorder_point,max_stock,lead_time_days,avg_daily_demand,demand_std_daily,avg_qty_90d,days_of_supply,stockout_prob,stock_status,last_restocked,last_sold,is_slow_mover,inventory_value_inr,service_types
DL007,Kolkata,BATT-12V-60AH,12V Battery 60Ah,A,Amaron,4500,2,qty,3,1,1,4,3,0.0173,0.0548,2,90,0.0,OK,2026-02-11,2026-06-12,False,9000,12V_BATTERY_REPLACE
DL007,Kolkata,BATT-12V-70AH,12V Battery 70Ah,A,Exide,5200,0,qty,2,1,1,3,3,0.013,0.0548,4,0,1.0,STOCKOUT,2026-06-15,2026-07-02,False,0,12V_BATTERY_REPLACE
DL007,Kolkata,COOLANT-1L,Engine Coolant (1L),B,MG OEM Direct,350,4,qty,13,1,1,14,3,0.0325,0.0548,8,45,0.0,OK,2025-09-21,2026-06-27,False,1400,"COOLANT_FLUSH,FULL_SERVICE"
DL007,Kolkata,AIR-FILTER-MG,Air Filter — MG OEM,B,MG OEM Direct,420,7,qty,10,1,1,11,3,0.0217,0.0548,4,158,0.0,OK,2026-02-26,2026-06-22,False,2940,FULL_SERVICE
DL007,Kolkata,SPARK-PLUG-NGK,Spark Plugs NGK (set of 4),B,NGK India,1850,4,qty,3,1,1,4,5,0.0108,0.0548,4,90,0.0,OK,2026-07-01,2026-06-26,False,7400,FULL_SERVICE
DL007,Kolkata,HV-MODULE-MG,HV Battery Module — MG ZS EV,A,MG OEM Direct,185000,2,qty,1,1,1,2,21,0.0022,0.0548,1,180,0.0,OK,2026-04-26,2026-04-05,True,370000,HV_BATTERY_INSPECT
DL007,Kolkata,BMS-FUSE-MG,BMS Fuse Assembly — MG,B,MG OEM Direct,2800,2,qty,2,1,1,3,14,0.0087,0.0548,2,90,0.0,OK,2026-06-13,2026-06-30,False,5600,HV_BATTERY_INSPECT
DL007,Kolkata,WIPER-BLADE-MG,Wiper Blade Set — MG OEM,C,MG OEM Direct,650,5,qty,9,1,1,10,2,0.0325,0.0548,3,150,0.0,OK,2026-02-26,2026-05-29,False,3250,FULL_SERVICE
DL007,Kolkata,CABIN-FILTER-MG,Cabin Air Filter — MG OEM,C,MG OEM Direct,780,7,qty,9,1,1,10,3,0.0325,0.0548,6,105,0.0,OK,2026-06-13,2026-06-26,False,5460,FULL_SERVICE
DL007,Kolkata,THERMOSTAT-MG,Engine Thermostat — MG OEM,C,MG OEM Direct,1200,3,qty,3,1,1,4,10,0.0043,0.0548,2,135,0.0,OK,2026-05-26,2026-06-19,False,3600,
DL007,Kolkata,OBD-HARNESS-MG,OBD Diagnostic Harness,C,MG OEM Direct,3500,2,qty,2,1,1,3,7,0.0087,0.0548,1,180,0.0,OK,2026-03-28,2026-04-13,True,7000,
DL008,Ahmedabad,OIL-5W30-4L,Engine Oil 5W-30 (4L),A,Castrol India,855,11,qty,12,1,1,13,2,0.0667,0.0913,7,141,0.0,OK,2026-05-31,2026-06-09,False,9405,"OIL_CHANGE,FULL_SERVICE"
DL008,Ahmedabad,OIL-FILTER-MG,Oil Filter — MG OEM,A,MG OEM Direct,183,10,qty,26,1,1,27,3,0.0667,0.0913,9,100,0.0,OK,2025-12-23,2026-06-16,False,1830,"OIL_CHANGE,FULL_SERVICE"
DL008,Ahmedabad,BR-PAD-F-MG,Brake Pads Front — MG OEM,A,MG OEM Direct,2800,2,qty,3,1,1,4,5,0.0167,0.0548,2,90,0.0,OK,2026-02-20,2026-04-17,False,5600,"BRAKE_CHECK,FULL_SERVICE"
DL008,Ahmedabad,BR-PAD-R-MG,Brake Pads Rear — MG OEM,A,MG OEM Direct,2200,2,qty,3,1,1,4,5,0.0143,0.0548,1,180,0.0,OK,2025-12-28,2026-06-02,True,4400,"BRAKE_CHECK,FULL_SERVICE"
DL008,Ahmedabad,BR-FLUID-DOT4,Brake Fluid DOT 4 (500ml),B,TotalEnergies,380,3,qty,6,1,1,7,3,0.0083,0.0548,3,90,0.0,OK,2025-12-27,2026-06-15,False,1140,"BRAKE_CHECK,FULL_SERVICE"
DL008,Ahmedabad,TYRE-215-60-17,Tyre 215/60 R17,B,MRF,6500,4,qty,3,1,1,4,7,0.04,0.0548,5,72,0.0,OK,2026-06-09,2026-06-02,False,26000,"TYRE_ROTATION,FULL_SERVICE"
DL008,Ahmedabad,TYRE-225-55-18,Tyre 225/55 R18,B,Apollo Tyres,7800,4,qty,3,1,1,4,7,0.04,0.0548,2,180,0.0,OK,2026-07-01,2026-06-24,False,31200,"TYRE_ROTATION,FULL_SERVICE"
DL008,Ahmedabad,BATT-12V-60AH,12V Battery 60Ah,A,Amaron,4500,2,qty,2,1,1,3,3,0.0133,0.0548,4,45,0.0,OK,2026-05-19,2026-06-07,False,9000,12V_BATTERY_REPLACE
DL008,Ahmedabad,BATT-12V-70AH,12V Battery 70Ah,A,Exide,5200,3,qty,2,1,1,3,3,0.01,0.0548,3,90,0.0,OK,2026-06-18,2026-06-15,False,15600,12V_BATTERY_REPLACE
DL008,Ahmedabad,COOLANT-1L,Engine Coolant (1L),B,MG OEM Direct,350,7,qty,11,1,1,12,3,0.025,0.0548,2,315,0.0,OK,2025-08-31,2026-06-21,False,2450,"COOLANT_FLUSH,FULL_SERVICE"
DL008,Ahmedabad,AIR-FILTER-MG,Air Filter — MG OEM,B,MG OEM Direct,420,4,qty,8,1,1,9,3,0.0167,0.0548,1,360,0.0,OK,2025-09-14,2026-05-02,True,1680,FULL_SERVICE
DL008,Ahmedabad,SPARK-PLUG-NGK,Spark Plugs NGK (set of 4),B,NGK India,1850,2,qty,3,1,1,4,5,0.0083,0.0548,2,90,0.0,OK,2026-04-05,2026-06-26,False,3700,FULL_SERVICE
DL008,Ahmedabad,HV-MODULE-MG,HV Battery Module — MG ZS EV,A,MG OEM Direct,185000,2,qty,1,1,1,2,21,0.0017,0.0548,2,90,0.074,OK,2026-06-11,2026-05-21,False,370000,HV_BATTERY_INSPECT
DL008,Ahmedabad,BMS-FUSE-MG,BMS Fuse Assembly — MG,B,MG OEM Direct,2800,2,qty,2,1,1,3,14,0.0067,0.0548,4,45,0.037,OK,2026-06-01,2026-06-16,False,5600,HV_BATTERY_INSPECT
DL008,Ahmedabad,WIPER-BLADE-MG,Wiper Blade Set — MG OEM,C,MG OEM Direct,650,9,qty,8,1,1,9,2,0.025,0.0548,2,405,0.0,OK,2026-06-08,2026-06-06,False,5850,FULL_SERVICE
DL008,Ahmedabad,CABIN-FILTER-MG,Cabin Air Filter — MG OEM,C,MG OEM Direct,780,7,qty,8,1,1,9,3,0.025,0.0548,1,630,0.0,OK,2026-04-02,2026-04-04,True,5460,FULL_SERVICE
DL008,Ahmedabad,THERMOSTAT-MG,Engine Thermostat — MG OEM,C,MG OEM Direct,1200,2,qty,2,1,1,3,10,0.0033,0.0548,1,180,0.0,OK,2026-02-01,2026-05-10,True,2400,
DL008,Ahmedabad,OBD-HARNESS-MG,OBD Diagnostic Harness,C,MG OEM Direct,3500,2,qty,2,1,1,3,7,0.0067,0.0548,4,45,0.0,OK,2026-06-04,2026-07-02,False,7000,
